meter_id,unit,tenant_name,reading,timestamp,month
Three/NEO-EM-85000228,,12th Floor Common Area (Lighting & Power),75463.0,2025-08-26 09:59:00,9.0
Three/NEO-EM-85000251,,14th Floor Common Area (Lighting & Power),82913.0,2025-08-26 09:56:00,9.0
Three/NEO-EM-85000224,,15th Floor Common Area (Lighting & Power),85271.0,2025-08-26 09:54:00,9.0
Three/NEO-EM-85000250,,16th Floor Common Area (Lighting & Power),84511.0,2025-08-26 09:51:00,9.0
Three/NEO-EM-85000244,,17th Floor Common Area (Lighting & Power),78077.0,2025-08-26 09:49:00,9.0
Three/NEO-EM-85000253,,18th Floor Common Area (Lighting & Power),80316.0,2025-08-26 09:45:00,9.0
Three/NEO-EM-85000252,,19th Floor Common Area (Lighting & Power),85202.0,2025-08-26 09:43:00,9.0
Three/NEO-EM-85000185,,20th Floor Common Area (Lighting & Power),86510.0,2025-08-26 09:41:00,9.0
Three/NEO-EM-85000242,,21st Floor Common Area (Lighting & Power),88053.0,2025-08-26 09:38:00,9.0
Three/NEO-EM-85000241,,22nd Floor Common Area (Lighting & Power),91544.0,2025-08-26 09:34:00,9.0
Three/NEO-EM-85000245,,23rd Floor Common Area (Lighting & Power),84711.0,2025-08-26 09:29:00,9.0
Three/NEO-EM-85000243,,Penthouse Common Area (Lighting & Power),63002.0,2025-08-26 09:25:00,9.0
