Date,Consumption [kW],ECB 2301 150A [kW],ECB 2201 150A [kW],EBC 2401 150A [kW]
2025-07-29 20:45:00,0,"11,286","10,873","8,97"
2025-07-29 20:40:00,0,"11,39","10,627","9,379"
2025-07-29 20:35:00,0,"11,19","11,002","9,104"
2025-07-29 20:30:00,0,"11,19","10,536","8,834"
2025-07-29 20:25:00,0,"11,496","10,78","8,987"
2025-07-29 20:20:00,0,"11,222","11,8","9,114"
2025-07-29 20:15:00,0,"11,056","10,73","9,529"
2025-07-29 20:10:00,0,"10,934","10,795","9,263"
2025-07-29 20:05:00,0,"10,691","10,663","9,109"
2025-07-29 20:00:00,0,"11,083","10,764","9,28"
2025-07-29 19:55:00,0,"11,886","10,901","9,29"
2025-07-29 19:50:00,0,"11,674","10,662","9,13"
2025-07-29 19:45:00,0,"11,346","10,583","9,542"
2025-07-29 19:40:00,0,"11,767","10,398","9,413"
2025-07-29 19:35:00,0,"10,96","10,252","9,304"
2025-07-29 19:30:00,0,"10,721","10,118","9,732"
2025-07-29 19:25:00,0,"10,63","10,282","9,568"
2025-07-29 19:20:00,0,"11,093","11,833","10,254"
2025-07-29 19:15:00,0,"11,479","11,335","10,03"
2025-07-29 19:10:00,0,"12,019","11,24","9,912"
2025-07-29 19:05:00,0,"12,06","10,992","10,078"
2025-07-29 19:00:00,0,"12,403","10,939","10,374"
2025-07-29 18:55:00,0,"12,052","10,724","10,129"
2025-07-29 18:50:00,0,"11,509","10,68","10,03"
2025-07-29 18:45:00,0,"11,854","10,541","10,457"
2025-07-29 18:40:00,0,"11,851","10,726","10,534"
2025-07-29 18:35:00,0,"11,764","10,664","10,439"
2025-07-29 18:30:00,0,"12,248","10,532","10,38"
2025-07-29 18:25:00,0,"12,176","10,928","10,286"
2025-07-29 18:20:00,0,"12,611","11,623","10,238"
2025-07-29 18:15:00,0,"12,802","10,792","10,422"
2025-07-29 18:10:00,0,"12,924","10,706","10,64"
2025-07-29 18:05:00,0,"12,376","10,772","10,326"
2025-07-29 18:00:00,0,"11,96","11,292","10,255"
