Date,Consumption [kW],ECB 1801 150A [kW],ECB 1901 [kW]
2025-07-30 07:35:00,0,"9,859","10,159"
2025-07-30 07:30:00,0,"9,878","12,418"
2025-07-30 07:25:00,0,"9,968","9,457"
2025-07-30 07:20:00,0,"9,908","9,884"
2025-07-30 07:15:00,0,"10,003","10,909"
2025-07-30 07:10:00,0,"10,133","11,554"
2025-07-30 07:05:00,0,"10,076","9,047"
2025-07-30 07:00:00,0,"9,918","8,989"
2025-07-30 06:55:00,0,"9,968","11,86"
2025-07-30 06:50:00,0,"10,123","9,906"
2025-07-30 06:45:00,0,"9,973","8,719"
2025-07-30 06:40:00,0,"10,13","8,328"
2025-07-30 06:35:00,0,"10,022","11,318"
2025-07-30 06:30:00,0,"10,06","8,113"
2025-07-30 06:25:00,0,"9,941","7,801"
2025-07-30 06:20:00,0,"10,001","7,718"
2025-07-30 06:15:00,0,"10,032","7,466"
2025-07-30 06:10:00,0,"9,953","10,397"
2025-07-30 06:05:00,0,"9,948","10,332"
2025-07-30 06:00:00,0,"9,899","9,997"
2025-07-30 05:55:00,0,"10,037","7,814"
2025-07-30 05:50:00,0,10,"7,985"
2025-07-30 05:45:00,0,"10,066","7,759"
2025-07-30 05:40:00,0,"10,105","11,496"
2025-07-30 05:35:00,0,"10,268","11,868"
2025-07-30 05:30:00,0,"10,238","7,698"
2025-07-30 05:25:00,0,"10,159","4,475"
2025-07-30 05:20:00,0,"10,308","4,288"
2025-07-30 05:15:00,0,"10,18","2,99"
2025-07-30 05:10:00,0,"10,192","3,032"
2025-07-30 05:05:00,0,"10,242","4,29"
2025-07-30 05:00:00,0,"10,346","4,09"
2025-07-30 04:55:00,0,"10,612","4,24"
2025-07-30 04:50:00,0,"10,56","4,123"
2025-07-30 04:45:00,0,"10,346","2,944"
2025-07-30 04:40:00,0,"10,342","2,948"
2025-07-30 04:35:00,0,"10,804","4,433"
2025-07-30 04:30:00,0,"11,188","4,316"
2025-07-30 04:25:00,0,"11,093","4,295"
2025-07-30 04:20:00,0,"11,2","2,992"
2025-07-30 04:15:00,0,"11,078","2,998"
2025-07-30 04:10:00,0,"11,105","4,078"
2025-07-30 04:05:00,0,"11,232","4,222"
2025-07-30 04:00:00,0,"11,203","4,706"
2025-07-30 03:55:00,0,"11,273","3,178"
2025-07-30 03:50:00,0,"11,225","2,981"
2025-07-30 03:45:00,0,"11,598","3,427"
2025-07-30 03:40:00,0,"11,413","4,12"
2025-07-30 03:35:00,0,"11,4","4,618"
2025-07-30 03:30:00,0,"11,309","3,643"
2025-07-30 03:25:00,0,"11,358","2,986"
